Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAP-SMD_L3.2-W1.6-RD-C7171,1,TAJA106K016RNJ,C7171
C2,C0805,1,CL21A226MAQNNNE,C45783
"C3, C5",C0805,2,CC0805KRX7R9BB104,C49678
C4,C0805,1,CL21B105KBFNNNE,C28323
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,PinHeader_1x08_P1.00mm_Vertical,1,Conn_01x08_Pin,
R1,0805,1,10k,
R2,0805,1,100R,
"R3, R4",0805,2,5.1k,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,CAP-SMD_L3.5-W2.8-FD,1,TCJB226M025R0150E,C2160823
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
